;link;eng_name;rus_name;year;duration;country;genre;director_name;rating
184;https://www.kinopoisk.ru/film/623807/;Beetlejuice 2;Битлджус 2;2022;202;США;ужасы;Тим Бёртон;
185;https://www.kinopoisk.ru/film/12198/;The Game;Игра;1997;129;США;триллер;Дэвид Финчер;8.3
186;https://www.kinopoisk.ru/film/1387469/;Sonic the Hedgehog 2;Соник 2 в кино;2022;122;США;фантастика;Джефф Фаулер;
187;https://www.kinopoisk.ru/film/5622/;Sleepy Hollow;Сонная Лощина;1999;105;США;триллер;Тим Бёртон;7.9
188;https://www.kinopoisk.ru/film/4503141/;Emancipation;Освобождение;2022;202;США;боевик;Антуан Фукуа;
189;https://www.kinopoisk.ru/film/325/;The Godfather;Крестный отец;1972;175;США;драма;Фрэнсис Форд Коппола;8.7
190;https://www.kinopoisk.ru/film/8435/;Halloween;Хэллоуин;1978;101;США;ужасы;Джон Карпентер;7.0
191;https://www.kinopoisk.ru/film/838043/;The Visit;Визит;2015;201;США;ужасы;М. Найт Шьямалан;
192;https://www.kinopoisk.ru/film/495892/;Insidious;Астрал;2010;103;США;ужасы;Джеймс Ван;
193;https://www.kinopoisk.ru/film/278522/;The Hobbit: An Unexpected Journey;Хоббит: Нежданное путешествие;2012;169;Новая Зеландия;фэнтези;Питер Джексон;8.1
194;https://www.kinopoisk.ru/film/4440349/;Crimes of the Future;Преступления будущего;2022;107;Канада;фантастика;Дэвид Кроненберг;
195;https://www.kinopoisk.ru/film/4481054/;The Lair;Логово;2022;202;Великобритания;ужасы;Нил Маршалл;
196;https://www.kinopoisk.ru/film/1287542/;Halloween Kills;Хэллоуин убивает;2021;105;США;ужасы;Дэвид Гордон Грин;
197;https://www.kinopoisk.ru/film/195434/;No Country for Old Men;Старикам тут не место;2007;122;США;триллер;Итан Коэн;7.8
198;https://www.kinopoisk.ru/film/8408/;Harry Potter and the Goblet of Fire;Гарри Поттер и Кубок огня;2005;157;Великобритания;фэнтези;Майк Ньюэлл;7.9
199;https://www.kinopoisk.ru/film/3561/;The Notebook;Дневник памяти;2004;124;США;драма;Ник Кассаветис;8.2
200;https://www.kinopoisk.ru/film/586397/;Django Unchained;Джанго освобожденный;2012;165;США;вестерн;Квентин Тарантино;8.2
201;https://www.kinopoisk.ru/film/1103803/;Death on the Nile;Смерть на Ниле;2020;127;США;детектив;Кеннет Брана;
202;https://www.kinopoisk.ru/film/7360/;Top Gun;Лучший стрелок;1986;110;США;боевик;Тони Скотт;7.1
203;https://www.kinopoisk.ru/film/738004/;Greta;В объятиях лжи;2018;201;Ирландия;триллер;Нил Джордан;
204;https://www.kinopoisk.ru/film/1448499/;Bandit;Бандит;2022;126;Канада;триллер;Аллан Ангар;
205;https://www.kinopoisk.ru/film/42571/;;Иди и смотри;1985;136;СССР;драма;Элем Климов;8.2
206;https://www.kinopoisk.ru/film/645118/;Inside Out;Головоломка;2015;201;США;мультфильм;Пит Доктер;8.1
207;https://www.kinopoisk.ru/film/263531/;The Avengers;Мстители;2012;137;США;фантастика;Джосс Уидон;7.9
208;https://www.kinopoisk.ru/film/1115174/;Wendell and Wild;Уэнделл и Уайлд;2022;105;США;мультфильм;Генри Селик;
209;https://www.kinopoisk.ru/film/2213/;Titanic;Титаник;1997;194;США;мелодрама;Джеймс Кэмерон;8.4
210;https://www.kinopoisk.ru/film/259251/;;Груз 200;2007;200;Россия;триллер;Алексей Балабанов;
211;https://www.kinopoisk.ru/film/448/;Forrest Gump;Форрест Гамп;1994;142;США;драма;Роберт Земекис;8.9
212;https://www.kinopoisk.ru/film/571/;Heat;Схватка;1995;171;США;боевик;Майкл Манн;8.0
213;https://www.kinopoisk.ru/film/41519/;;Брат;1997;100;Россия;драма;Алексей Балабанов;8.3
214;https://www.kinopoisk.ru/film/505851/;Edge of Tomorrow;Грань будущего;2014;113;США;фантастика;Даг Лайман;7.9
215;https://www.kinopoisk.ru/film/389/;Léon;Леон;1994;133;Франция;боевик;Люк Бессон;8.7
